FID,Shape_Leng,Shape_Area,Count_,Count_1,landslide,prob
7102,3000,163125,0,0,0,0.0394425
7103,1050,32500,0,0,0,0.0651548
7104,5250,468750,0,0,0,0.205929
7105,1650,64375,0,0,0,0.0439666
7106,2600,207500,0,0,0,0.157149
7107,5150,283125,0,0,0,0.0633753
7108,2100,80625,0,0,0,0.183102
7109,2100,123125,0,0,0,0.0284348
7110,3800,346875,0,0,0,0.257545
7111,4650,250000,0,0,0,0.447064
7112,4250,166875,0,0,0,0.124256
7113,3850,323750,0,0,0,0.141257
7114,3400,190625,0,0,0,0.0594571
7115,2600,146875,0,0,0,0.0267777
7116,3050,169375,0,0,0,0.0731449
7117,3150,220625,0,0,0,0.0309132
7118,2600,95625,0,0,0,0.0480185
7119,4550,380625,0,0,0,0.219136
7120,3150,198125,0,0,0,0.0501689
7121,3450,199375,0,0,0,0.0462679
7122,3850,331250,0,0,0,0.0535928
7123,4650,444375,0,0,0,0.154343
7124,3400,394375,0,0,0,0.773581
7125,2550,135625,0,0,0,0.146088
7126,3400,165000,0,0,0,0.0352383
7127,1050,28750,0,0,0,0.096881
7128,4350,266250,0,0,0,0.270803
7129,4000,165625,0,0,0,0.50012
7130,1650,40000,0,0,0,0.0967038
7131,2450,156250,0,0,0,0.0830223
7132,4950,342500,0,0,0,0.343364
7133,4350,392500,0,0,0,0.472552
7134,1200,33750,0,0,0,0.0478842
7135,4000,290625,0,0,0,0.611343
7136,3900,221875,0,0,0,0.202195
7137,3000,215625,0,0,0,0.0493553
7138,1000,28750,0,0,0,0.0272932
7139,1600,53750,0,0,0,0.159313
7140,3700,209375,0,0,0,0.223482
7141,3450,213750,0,0,0,0.0969117
7142,2700,166250,0,0,0,0.417811
7143,3250,206250,0,0,0,0.103364
7144,3650,170625,0,0,0,0.197133
7145,3250,179375,0,0,0,0.167514
7146,3150,150625,0,0,0,0.0566437
7147,5950,615625,0,0,0,0.151353
7148,4500,233750,0,0,0,0.09347
7149,3450,157500,0,0,0,0.215313
7150,4250,337500,0,0,0,0.0759629
7151,3450,162500,0,0,0,0.349622
7152,4750,330000,0,0,0,0.332493
7153,5500,481250,0,0,0,0.194461
7154,3300,326250,0,0,0,0.163147
7155,3350,279375,0,0,0,0.0231412
7156,1650,70625,0,0,0,0.027684
7157,2950,305000,0,0,0,0.543292
7158,2850,170625,0,0,0,0.111146
7159,3550,186875,0,0,0,0.198913
7160,2150,116875,0,0,0,0.342878
7161,800,26250,0,0,0,0.0178774
7162,1700,52500,0,0,0,0.108816
7163,3850,243125,0,0,0,0.107734
7164,1500,65625,0,0,0,0.0487647
7165,2050,101250,0,0,0,0.0196897
7166,1550,61875,0,0,0,0.101012
7167,5050,330625,0,0,0,0.249087
7168,2900,148125,0,0,0,0.473126
7169,2100,90625,0,0,0,0.0463678
7170,5600,661875,0,0,0,0.487027
7171,1550,56875,0,0,0,0.104761
7172,2350,103125,0,0,0,0.170316
7173,4100,271875,0,0,0,0.37077
7174,1450,69375,0,0,0,0.0477569
7175,3800,338125,0,0,0,0.0166596
7176,1750,78750,0,0,0,0.0220046
7177,4850,345625,0,0,0,0.161706
7178,2700,160000,0,0,0,0.0464604
7179,2650,183125,0,0,0,0.53675
7180,2500,175625,0,0,0,0.0223204
7181,2700,158750,0,0,0,0.0616221
7182,4350,279375,0,0,0,0.288832
7183,2200,90000,0,0,0,0.131998
7184,3500,204375,0,0,0,0.195506
7185,2600,135625,0,0,0,0.381667
