,altitude,aspect,fault,ndvi,plan,profile,rainfall,river,road,slope,spi,sti,twi,soil_envi,landuse_envi,lithology_envi,len_x,len_y,Shape_Leng,Shape_Area
67,508.3030769,222.0239628,5125.489711,0.148854547,-0.032955612,-0.00078508,995.8213866,785.0604334,802.4335942,27.83149958,28.24600882,13.98864069,4.658434913,2,5,5,53,32,4700,515625
68,665.517341,257.4471077,8854.511606,0.196303531,0.070219111,0.046216564,991.2823352,467.072417,186.7141095,20.7743444,19.71587813,9.986046103,5.042885947,2,4,11,40,19,3400,216250
69,859.1320755,124.3389619,6953.725217,0.151128012,-0.023114469,-0.060590975,990.9114458,481.5966953,2155.812487,18.85007261,17.65574302,8.854997804,5.255314729,2,5,5,34,25,3600,132500
70,779.3707865,34.90983228,5540.976936,0.117214127,-0.022246368,-0.068987938,991.5363776,814.9613647,833.1290544,35.7988081,37.41781352,18.62835719,4.283189069,2,5,5,11,14,1250,55625
71,425.5641026,217.6853332,5383.83025,0.15210053,0.062835932,0.048661512,993.9176753,263.8930597,141.8224674,24.55015856,24.40572357,12.09836689,4.826027205,2,5,5,39,32,3850,341250
72,464.3352166,138.9144356,5239.894013,0.147202402,0.03559768,0.012217352,994.8653232,534.7473234,476.2967984,22.96214762,22.11258686,11.18395178,4.883635171,2,5,5,49,18,3650,331875
73,861.3636364,221.5459569,8238.449763,0.119464113,-0.006615427,-0.018282844,990.5571722,722.0835825,519.2820876,21.42156949,20.15462988,10.28073156,4.937749829,2,3,5,23,59,4900,213125
74,693.9618227,84.91412245,6158.473286,0.059914396,-0.015476086,-0.025251498,991.852206,627.8997266,706.14229,26.94559189,26.69198845,13.49087386,4.690095169,2,3,5,51,42,5250,507500
75,580.7671756,199.6350407,5987.225772,0.148778806,-0.02611563,-0.01804622,992.3470326,409.8415318,419.1961398,22.92681927,22.37239341,11.20106449,4.920013317,2,3,5,44,28,3900,163750
76,948.4890909,273.0266246,7936.439964,0.085002726,0.025718466,0.021027506,990.1392394,793.9597071,800.5249927,22.6509328,21.6969616,11.00288454,4.89666542,2,5,5,20,55,4300,343750
77,894.5856237,221.3533673,7026.56831,0.138124209,0.000988674,-0.008879498,990.3946127,308.0469318,2091.4217,19.5532838,18.43733773,9.275523058,5.097149351,2,5,5,32,24,3250,295625
78,306.5636364,66.44898265,4619.812464,0.193021444,0.059669897,0.144772808,993.6107122,79.87311118,61.25945926,20.89540103,19.42657441,9.982090431,4.966632167,2,5,5,7,13,1000,34375
79,766.2676311,107.312925,10247.79958,0.130636531,0.036661957,0.019480214,996.1391022,266.6954889,1856.987391,22.73569619,21.68445805,11.04564328,4.878745123,3,5,4,28,34,3550,345625
80,730.2072727,213.0549477,10536.00425,0.172792242,0.065004563,0.09582267,995.2179017,172.6600973,1652.546861,22.74531494,22.98533761,11.04453331,4.947373703,3,5,4,34,19,3000,171875
81,685.8620072,179.7885304,10265.89294,0.313562508,0.034626427,0.027098678,994.1505694,203.2498952,1146.702983,20.22452659,19.50137592,9.705862844,5.109330806,3,4,11,29,43,4000,348750
82,709.3141026,118.585073,9280.613457,0.215210597,0.013952111,-0.038534449,991.8000629,461.543253,108.906556,18.07872752,16.74364555,8.406177485,5.152380179,2,4,11,24,20,2600,97500
83,676.0613426,232.0790311,9114.227318,0.258897231,-0.036686802,-0.033981849,991.5847943,358.4365376,260.3497601,23.84219198,23.61306724,11.76746902,4.947770592,2,4,11,50,36,4850,540000
84,271.9,195.4053996,4550.394792,0.236912259,0.038786986,-0.018425059,994.0293254,57.70403202,147.4814219,12.65049203,11.47503642,5.557438972,5.721567535,2,4,5,11,6,900,18750
85,405.7923875,178.2471104,4582.025399,0.120307082,0.003909883,-0.036586516,995.3224373,459.1724758,558.8232088,26.0785626,26.24208776,13.00769252,4.771190045,2,5,5,35,31,3500,190625
86,455.6634615,239.3755222,4427.31732,0.187835667,-0.089906305,-0.070454441,996.0184236,634.1077342,759.9647391,26.16207046,25.76612468,13.04052078,4.724133349,2,5,5,32,39,3700,265000
87,957.1505682,138.5567769,7295.892023,0.11080534,0.003901384,-0.030375575,989.782594,634.4698531,1526.590561,19.73992359,18.39259431,9.311953445,5.036027379,2,5,5,18,42,3350,220000
88,931.6145038,98.5989803,7483.970703,0.135691499,0.031824384,0.049716968,990.3425891,576.5700759,1454.105998,21.34884241,20.45263246,10.29256182,4.997595388,2,5,5,39,43,4500,491250
89,915.3181818,279.8111888,7695.588956,0.094431273,-0.054122041,0.00892618,989.5012887,444.9943993,603.3470098,28.94169963,28.25996735,14.6108157,4.532018412,2,5,5,5,11,800,27500
90,709.9191564,226.4769306,9615.876521,0.225431051,0.022288891,0.038326998,992.4846891,342.9043349,381.7284772,19.10330312,17.97657515,9.029998262,5.180439492,2,4,11,43,25,4000,355625
91,552.6802074,62.4477589,5212.345457,0.14251055,0.039465146,0.049793828,992.4099554,407.8348522,429.3787452,29.16547384,29.63867276,14.74823412,4.582640552,2,3,5,47,56,5550,723125
92,941.59375,86.64727254,7104.676473,0.097324399,-0.028745344,0.006062892,989.3851342,674.4605872,1493.746829,17.56725307,16.20103425,8.11383123,5.195433562,2,5,5,14,36,2800,180000
93,671.208,93.43743433,4908.361172,0.103876747,0.015770248,-0.032226042,991.7501147,616.1129163,607.6217485,30.34970743,30.74193616,15.42093175,4.502400427,2,5,5,12,36,2550,78125
94,680.4587156,199.2471635,8982.312661,0.180451644,0.001066048,-0.034163316,991.1394771,173.5018406,304.1394424,22.9316937,22.10586224,11.15563915,4.875375216,2,5,11,14,14,1500,68125
95,778.693133,250.3755028,7982.883089,0.098679561,-0.036109146,-0.012252492,989.8307041,266.9465577,382.5142981,23.22105171,22.28927219,11.32596982,4.923081198,2,5,5,23,47,3700,291250
96,704.6504348,102.6978888,8665.517395,0.160328683,0.000303508,-0.010614603,990.8073462,410.2641394,227.1268075,24.59112569,24.35910593,12.16867531,4.843396889,2,4,5,70,24,5800,359375
97,574.5279805,65.91382677,4696.191573,0.195666361,0.018672696,0.044954585,992.1348963,526.4374312,516.3520632,27.50370506,27.2212109,13.79607378,4.643637135,2,5,5,18,57,4250,256875
98,404.5246637,253.4452894,4018.566202,0.259964176,0.014971371,0.003129825,995.5201912,492.761067,587.5272758,24.11854854,23.28912414,11.84597283,4.812710259,2,4,5,30,43,3800,465625
99,720.3522267,80.07572949,9243.73462,0.220806497,0.143428781,0.110727792,991.7126275,466.7152643,143.4236918,23.91531984,23.54510176,11.76620579,4.871111456,2,5,11,29,24,2800,154375
