,altitude,aspect,fault,ndvi,plan,profile,rainfall,river,road,slope,spi,sti,twi,soil_0,landuse_0,lithology_0,len_x,len_y,Shape_Leng,Shape_Area
84,461.9506726,280.5046845,4265.837306,0.117359138,0.026761449,-0.029241137,901.2212686,548.2976916,401.008596,18.93891845,73.43483996,15.58538137,5.505970876,10,2,225,21,29,2650,139375
85,571.9747292,215.9903255,2173.479552,0.254403097,0.068259592,0.045411488,959.9632848,192.12843,1369.2646,24.33320234,89.04128018,19.98629184,5.207098801,4,2,225,24,21,2450,173125
86,553.1447964,180.5292259,4948.382576,0.272022951,0.00155281,-0.032089945,922.7681186,446.5564679,1335.893689,20.63028051,131.9357943,18.75169202,5.414028312,4,3,83,33,27,3050,193750
87,547.9933921,153.3499722,5295.040255,0.259673226,-0.023081727,0.013228218,921.7796515,459.3096282,1112.754027,17.75080864,123.0596378,18.00978685,5.734936213,4,3,83,40,24,3550,314375
88,587.0606936,274.0344302,260.0153135,0.09601023,-0.008782032,-0.016019662,943.8505402,586.8611143,386.6211858,22.55015691,119.8952707,22.25083901,5.640139296,4,2,225,25,37,3300,216250
89,570.6206897,241.0994818,5586.373458,0.203212728,-0.021019169,-0.020620354,918.5488977,586.3081137,706.1770846,22.58108389,107.0025186,21.35329932,5.533216505,4,2,83,37,34,3850,507500
90,280.9235294,87.22572515,2371.526374,0.174603282,0.049894132,0.103685501,922.1244482,95.94997603,96.22429727,17.65927312,59.42884489,13.46593277,5.647143672,10,3,225,18,18,1900,106250
91,283.0396476,250.142616,2241.615044,0.145184229,0.027924048,-9.02E-05,924.3025448,371.3214217,239.295475,20.3499574,56.11620238,14.22986863,5.315236522,10,3,225,13,24,1950,141875
92,569.6626506,180.0633032,2617.159524,0.245922463,-0.001787096,-0.046081375,963.4319311,198.7499619,818.1915541,22.74982726,275.4350003,25.50216741,5.526300999,4,3,225,13,12,1400,51875
93,553.400545,89.33759802,2404.223632,0.217561857,0.042329061,0.042719576,961.716877,103.0888315,1086.520792,15.46422736,68.95136361,12.88562351,5.81846578,4,2,225,26,38,3350,229375
94,822.7124652,149.4056464,2381.475284,0.24523831,0.00577309,0.023322163,959.0894125,467.0505287,1157.584944,23.96426986,196.7898627,26.74891478,5.483615235,4,3,225,113,47,9250,1569375
95,295.4948454,230.8273268,3601.25998,0.206246243,0.168087176,0.081897111,901.2561539,160.14913,1028.144095,20.19662599,38.91400177,12.80976028,5.189633802,10,3,225,16,11,1400,60625
96,556.7091346,106.7341016,4715.967674,0.262674969,0.01000163,0.003633502,922.7200875,438.7458844,1185.633264,17.20404747,187.2304369,21.60294865,5.873296905,4,2,83,36,29,3300,271250
97,587.84375,59.51796328,2668.088793,0.17053614,0.067881744,0.147174644,964.1648801,68.96477383,593.8953657,21.78180962,346.9540796,29.68708078,5.617257287,4,2,225,10,17,1400,60000
98,755.4068966,91.44053003,692.8430677,0.242468279,-0.167866888,-0.136536302,940.5026241,1082.479734,884.3679422,19.85103936,76.90181093,16.71071051,5.461780706,4,2,225,28,24,2600,128750
99,315.4008264,221.1508925,3265.473363,0.244084754,0.017134313,-0.041323972,914.9046259,613.0113726,2061.207441,16.70565146,56.95297281,12.23017855,5.53907685,10,3,225,58,26,4850,388125
100,309.7260274,96.5035644,2118.484546,0.18046499,-0.072588094,-0.078590525,932.0574774,477.5947752,1478.626262,20.75575682,87.77157822,19.20717382,5.555644245,10,3,225,31,27,3150,182500
101,654.6633444,194.1591569,1166.00845,0.226229412,0.033599333,0.011927433,952.215991,237.5206388,859.3063584,20.93628071,95.01143534,17.86367619,5.458385634,4,3,225,85,31,7250,564375
102,306.5388601,73.01987617,3475.293791,0.227128117,0.033669863,0.088120126,899.0589362,105.2777282,787.0598461,19.77570249,72.30706732,16.1252208,5.589466057,10,2,225,19,22,2100,120625
103,452.6326531,160.2678079,1866.611649,0.268310145,0.055831771,0.139590309,958.9837808,40.02973611,942.0959585,21.51903292,86.46707612,17.23597528,5.565675818,10,3,225,8,8,800,30625
104,454.749503,92.10957637,4457.480527,0.191150362,-0.009616501,-0.002025705,901.5802089,231.2643654,934.8939632,18.25283701,115.4533396,17.96999381,5.671381208,4,3,225,26,36,3300,314375
105,291.64,114.6405624,3062.358542,0.277956251,-0.042500317,-0.018866832,912.3249322,524.2578037,2299.503566,17.59108873,66.20926721,14.20198446,5.68311032,10,3,225,54,15,4050,296875
106,524.4974093,175.6428154,2218.966092,0.26321743,-0.025018941,-0.056183862,961.210682,126.0383918,851.6979848,20.73129341,62.08587174,15.25275208,5.340784395,4,3,225,16,22,1950,120625
107,612.5849057,127.9289371,1212.012468,0.274844039,0.011451201,0.034498135,953.1439917,265.5760145,949.5990974,22.14948124,134.5503975,22.51041034,5.568188518,4,3,225,71,40,5900,828125
108,772.3814433,171.647137,854.5549883,0.11134157,-0.021909442,0.020483868,939.4336778,1001.364129,1044.382965,24.81200871,96.83118357,22.53261904,5.375781777,4,2,225,22,21,2150,121250
109,232.1343284,133.7964414,2556.427312,0.204442455,0.070920106,-0.087479301,910.7442017,49.7925685,2099.572626,15.60739689,22.18129889,8.200789807,5.383688247,10,3,225,16,12,1550,41875
110,825.8978495,134.2960771,3390.882651,0.157646715,0.0608316,-0.017483738,968.5978234,461.6319661,311.0819922,23.89255793,151.143013,24.45374571,5.329603285,6,3,158,20,49,3850,236875
111,467.0217391,280.2485531,1716.808228,0.054647737,0.189128655,0.178693866,958.0646442,105.1274922,942.7684764,27.77480951,49.47543834,17.27679137,4.860817479,10,2,225,10,9,1000,28750
112,707.5095308,253.65601,1799.28159,0.173135331,-0.02176952,-0.038758348,956.4874741,362.7101126,1386.050311,24.13972899,152.2999056,23.99942519,5.383471018,4,2,225,117,40,8950,852500
113,623.265625,291.4097617,315.1567835,0.04764719,0.030773514,0.019336535,943.3899559,665.8577867,428.0384795,28.23386578,210.5094458,33.92037313,5.417388698,4,2,225,27,30,3050,200000
114,360.4347333,267.5731167,2571.199289,0.125306366,-0.01229816,-0.02560499,916.292733,480.6710739,1083.156093,23.78531933,110.3219708,21.64255065,5.344827279,10,2,225,50,50,5300,556875
115,475.0339806,143.9987546,468.6171651,0.222920909,0.057781199,0.060370098,948.8173601,118.5489029,335.9249937,19.41807713,57.72491162,14.37535533,5.482125812,4,3,83,33,34,3700,257500
116,348.3333333,134.4604425,3603.526521,0.148017845,-0.028720312,-0.019230575,898.7401829,222.1947047,517.8154485,19.79710759,72.07207244,16.25923585,5.444580716,10,2,225,24,21,2500,135000
117,689.3448276,50.76592485,2803.648993,0.192645856,0.109352326,0.109352324,965.5327717,225,290.0351089,14.98397673,23.80850817,8.020695374,5.519846357,4,2,225,6,6,600,18125
118,803.273399,72.71450924,3191.034803,0.16892009,-0.039825785,-0.039929029,967.8328288,393.8576656,242.4295672,22.29279352,199.9643056,27.76235079,5.592595886,6,2,158,17,49,3700,253750
119,300.9808429,106.3259232,2155.954117,0.193347562,0.04118752,0.092368047,918.2569321,534.3519822,602.0037893,17.67042086,73.68323552,15.06683301,5.739782536,10,3,225,18,37,3050,163125
120,316.9596603,173.5644581,2334.29231,0.227799167,0.001275638,-0.025996401,919.7366315,467.485242,391.2307144,23.73332187,84.28854163,19.24636682,5.301429464,10,3,225,29,40,3900,294375
121,561.1527495,286.4466893,244.23242,0.05973748,0.059128499,0.045016377,944.7879053,464.8199868,280.258395,22.95136972,121.997142,22.25904538,5.500008032,4,2,225,31,43,4000,306875
122,492.6031746,172.3140219,3154.667854,0.252497658,-0.022435831,-0.066963033,931.3337586,415.6551619,348.4270094,16.16551398,48.95496617,11.72172709,5.545367305,10,3,83,36,32,3450,140625
123,316.0842434,245.8487848,3481.601405,0.212316844,-0.021927944,0.001131099,905.9276362,461.1745315,2057.187751,14.4459538,37.87854843,9.67145929,5.73614737,10,2,225,58,19,4650,400625
124,628.0344828,83.394283,2619.758202,0.216908166,0.00392877,-0.129932075,964.3320681,193.8814139,407.0708602,20.05861586,305.8806209,30.21526094,5.780577037,4,3,225,12,23,1800,72500
125,500.7741935,144.3146214,3482.826545,0.251593789,-0.024450837,-0.01073427,931.1240086,630.2908324,173.1512994,18.01382179,82.4435816,15.22892294,5.749305688,4,3,83,56,31,4800,595625
126,309.6966527,197.6126811,3400.048999,0.238332689,0.021563575,-0.00052002,901.6254576,207.3023489,1366.323742,17.65282805,92.91905195,16.01682186,5.679968087,10,3,225,40,26,3600,298750
127,335.9517154,135.137377,3774.130649,0.243917022,-0.023058912,-0.008578391,906.9596092,512.1128529,1909.82596,17.89550489,51.78370616,12.80314208,5.547667306,10,2,225,70,33,6550,575000
128,583.5266821,192.4895789,4873.83671,0.244434546,-0.022924465,-0.05622767,907.7999865,500.5625594,485.22748,20.72504336,81.50703385,16.97590775,5.39026218,4,2,225,23,40,3500,269375
129,371.3062201,123.7165549,3291.411127,0.259125962,0.050749976,-0.035197393,895.9297404,381.9022997,467.1684971,21.04648234,82.25846905,16.71449257,5.353010286,10,3,225,13,39,2800,130625
130,894.2318841,116.5726063,3297.013125,0.19992286,-0.020971663,-0.061950955,968.9984816,656.5535272,283.3506967,22.25420785,121.042564,21.03126268,5.452012028,6,3,158,8,37,2450,86250
131,830.0322581,231.0564383,690.4382777,0.205661201,-0.052530601,-0.336401569,940.9489175,1026.956092,791.0785719,32.29541592,75.67977796,24.77760089,4.78921648,4,2,225,6,7,650,19375
132,509.1880109,95.48542217,3028.299619,0.253143873,-0.039124005,-0.040935351,931.6164559,479.9571191,507.3469754,17.02132093,84.42298794,15.76042286,5.797465449,10,2,83,36,43,4000,270000
133,268.19,155.5229214,1951.945427,0.23369568,0.063228605,-0.004565118,918.2356012,318.0019647,654.9471521,16.85687027,43.79859965,10.78378575,5.411475129,10,3,225,11,28,2050,62500
134,552.7211538,258.1819334,221.8915675,0.109839947,0.012923599,0.031650972,944.8397375,460.4437251,305.286563,21.94122499,138.3521483,24.09256541,5.686657835,4,2,225,15,34,2700,130000
135,497.3610675,238.600031,3878.123733,0.188877967,0.004339997,0.000858018,928.0585128,673.5936976,325.7719456,19.93527491,57.14200329,15.26675465,5.485591461,4,2,83,56,24,4250,424375
136,379.5631068,242.0518097,3978.215872,0.159803797,0.044534076,0.034556802,897.3399489,273.50526,720.5849808,20.42002192,65.33715213,16.04727219,5.473455546,10,2,225,21,16,2100,128750
137,419.5509893,102.2221197,3753.683115,0.158992931,-0.029951039,-0.014952691,897.8834075,462.7981947,209.3439472,18.91948153,150.9007228,20.53086484,5.687301012,10,2,225,31,39,4050,410625
138,386.437788,101.5649098,4005.322252,0.219772797,-0.015929679,-0.002217339,897.0018972,107.9031203,644.0271914,19.44328883,89.10086186,17.34800194,5.582015423,10,3,225,22,19,2250,135625
139,238.25,187.611598,2681.374785,0.255655013,0.121020865,0.055703972,898.9164525,102.8412554,1749.753216,16.26690558,30.64285042,9.897057965,5.533594373,10,3,225,12,13,1300,47500
140,277.1394737,177.5016248,2931.851627,0.250770689,0.014305406,-0.005026737,902.8134923,252.7181423,2114.799947,16.25446475,43.07938259,10.57525825,5.593942914,10,2,225,33,17,2700,237500
