FID,Shape_Leng,Shape_Area,Count_,landslide,prob
8261,4600,236250,0,0,0.892338
8262,7800,963125,0,0,0.741939
8263,2300,145000,0,0,0.500954
8264,4400,258750,0,0,0.505202
8265,2600,98125,0,0,0.484601
8266,3150,260625,0,0,0.779008
8267,1950,85000,0,0,0.627403
8268,3700,309375,0,0,0.373473
8269,3450,353750,0,0,0.389195
8270,3100,96875,0,0,0.0454788
8271,6050,614375,0,0,0.699011
8272,5250,335625,0,0,0.175718
8273,2950,208125,0,0,0.374771
8274,5200,243125,0,0,0.0580523
8275,4700,382500,1,1,0.544735
8276,4700,511250,0,0,0.830813
8277,1600,85625,0,0,0.138096
8278,1200,34375,0,0,0.366391
8279,3750,260000,0,0,0.301647
8280,3350,339375,0,0,0.347326
8281,3350,140000,0,0,0.483844
8282,2650,156250,0,0,0.236656
8283,2950,158750,0,0,0.473108
8284,5650,280000,0,0,0.118875
8285,4550,356250,0,0,0.885448
8286,1300,41250,0,0,0.0973499
8287,2900,166250,0,0,0.285911
8288,2350,154375,0,0,0.335037
8289,3050,236875,0,0,0.612672
8290,2650,173750,0,0,0.658535
8291,4150,223750,0,0,0.141769
8292,4250,196875,0,0,0.705577
8293,3400,335000,0,0,0.395073
8294,2650,197500,0,0,0.902784
8295,1400,43750,0,0,0.0690203
8296,1300,66250,0,0,0.0110992
8297,3750,284375,1,1,0.371893
8298,4050,266875,0,0,0.867973
8299,1250,47500,0,0,0.620225
8300,3300,244375,0,0,0.906923
8301,2850,183750,0,0,0.152272
8302,2500,108750,0,0,0.261979
8303,2750,173125,2,1,0.925798
8304,3600,206250,0,0,0.647525
8305,2800,228125,0,0,0.827662
8306,2500,195000,0,0,0.286335
8307,8200,691250,1,1,0.81477
8308,4500,203750,0,0,0.862999
8309,3350,235625,0,0,0.0498786
8310,1100,36250,0,0,0.929557
8311,1750,101250,0,0,0.687353
8312,5950,342500,0,0,0.478807
8313,2900,157500,0,0,0.744175
